path,offset_sec,vstart_sec
2015-02-16-16-49-06_denoised_712,-0.6,2.72
2015-02-16-16-49-06_denoised_578,-1.8,2.32
2015-02-16-16-49-06_denoised_235,-0.4,0.72
2015-02-16-16-49-06_denoised_118,-1.0,2.04
2015-02-16-16-49-06_denoised_1228,-0.4,1.76
2015-02-16-16-49-06_denoised_67,1.0,0.28
2015-02-16-16-56-35_denoised_213,-1.2,1.8
2015-02-16-16-56-35_denoised_638,0.0,0.0
2015-02-16-16-56-35_denoised_512,1.0,0.76
2015-02-16-16-56-35_denoised_264,-1.4,2.2
2015-02-16-16-56-35_denoised_336,0.2,1.44
2015-02-16-16-56-35_denoised_187,0.2,1.6
2015-02-16-16-56-35_denoised_287,1.6,0.2
2015-02-16-16-56-35_denoised_121,0.8,0.0
2015-02-16-16-56-35_denoised_618,1.0,0.28
2015-02-16-16-56-35_denoised_423,-0.6,1.84
2015-02-16-16-56-35_denoised_490,1.8,0.08
2015-02-16-16-56-35_denoised_239,1.0,0.6
2015-02-16-16-56-35_denoised_659,0.0,0.64
2015-02-16-16-56-35_denoised_955,-0.4,1.24
2015-02-16-16-56-35_denoised_1010,0.6,1.08
2015-02-16-16-56-35_denoised_401,1.4,0.72
2015-02-16-16-56-35_denoised_555,-0.8,2.52
2015-02-16-16-56-35_denoised_597,1.0,1.28
2015-02-16-16-56-35_denoised_466,1.0,0.0
2015-02-16-16-56-35_denoised_311,-1.0,2.24
2015-02-16-16-56-35_denoised_379,-0.6,0.8
2015-02-16-16-58-57_denoised_874,1.8,0.92
2015-02-16-16-58-57_denoised_111,-0.8,2.68
2015-02-16-16-58-57_denoised_924,1.8,0.2
2015-02-16-16-58-57_denoised_849,0.4,0.48
2015-02-16-16-58-57_denoised_677,-0.6,2.96
2015-02-16-16-58-57_denoised_952,0.4,0.08
2015-02-16-16-58-57_denoised_480,1.0,0.6
2015-02-16-16-58-57_denoised_59,-0.8,1.84
2015-02-16-16-58-57_denoised_84,0.6,1.0
2015-02-16-16-58-57_denoised_602,1.8,0.52
2015-02-16-16-58-57_denoised_212,-1.6,2.52
2015-02-16-16-58-57_denoised_704,-1.4,2.48
2015-02-16-16-58-57_denoised_138,-1.6,2.2
2015-02-16-16-58-57_denoised_428,1.2,0.72
2015-02-16-16-58-57_denoised_163,0.2,0.16
2015-02-16-16-58-57_denoised_409,-0.2,2.32
2015-02-16-16-58-57_denoised_651,0.4,0.12
2015-02-16-16-58-57_denoised_626,1.8,0.84
2015-02-16-16-58-57_denoised_978,-0.2,1.96
2015-02-16-16-58-57_denoised_728,-1.6,2.52
2015-02-16-16-58-57_denoised_898,1.4,0.8
2015-02-16-16-58-57_denoised_188,-1.4,2.8
2015-02-16-17-02-05_denoised_464,0.4,0.76
2015-02-16-17-02-05_denoised_133,0.4,1.8
2015-02-16-17-02-05_denoised_556,-1.8,2.4
2015-02-16-17-02-05_denoised_254,-0.8,0.84
2015-02-16-17-02-05_denoised_673,2.0,0.64
2015-02-16-17-02-05_denoised_374,-0.4,2.16
2015-02-16-17-02-05_denoised_276,0.2,1.84
2015-02-16-17-02-05_denoised_108,-1.2,2.44
2015-02-16-17-02-05_denoised_397,-1.6,2.6
2015-02-16-17-02-05_denoised_157,-2.0,2.96
2015-02-16-17-02-05_denoised_767,2.0,0.32
2015-02-16-17-02-05_denoised_894,1.8,0.84
2015-02-16-17-02-05_denoised_603,-0.6,1.28
2015-02-16-17-02-05_denoised_650,0.4,1.96
2015-02-16-17-02-05_denoised_78,0.2,2.16
2015-02-16-17-02-05_denoised_511,1.6,0.92
2015-02-16-17-02-05_denoised_814,0.6,2.36
2015-02-16-17-02-05_denoised_694,-0.4,1.84
2015-02-16-17-02-05_denoised_533,0.4,1.72
2015-02-16-17-02-05_denoised_182,-1.6,2.6
2015-02-16-17-02-05_denoised_792,-1.6,1.8
2015-02-16-17-02-05_denoised_971,-0.4,0.84
2015-02-16-17-03-55_denoised_313,-0.8,0.84
2015-02-16-17-03-55_denoised_879,1.4,1.52
2015-02-16-17-03-55_denoised_138,-1.8,2.0
2015-02-16-17-03-55_denoised_692,0.0,0.08
2015-02-16-17-03-55_denoised_536,-2.0,2.12
2015-02-16-17-03-55_denoised_509,1.6,0.16
2015-02-16-17-03-55_denoised_816,-1.6,1.6
2015-02-16-17-03-55_denoised_527,1.8,0.84
2015-02-16-17-03-55_denoised_402,1.4,1.32
2015-02-16-17-03-55_denoised_444,-2.0,2.56
2015-02-16-17-03-55_denoised_736,0.0,0.84
2015-02-16-17-03-55_denoised_114,2.0,0.08
2015-02-16-17-03-55_denoised_967,-1.8,2.24
2015-02-16-17-03-55_denoised_836,0.0,0.44
2015-02-16-17-03-55_denoised_378,-1.6,1.96
2015-02-16-17-03-55_denoised_855,1.6,0.88
2015-02-16-17-03-55_denoised_266,-1.6,2.88
2015-02-16-17-03-55_denoised_426,0.6,2.12
2015-02-16-17-03-55_denoised_1106,1.4,1.0
2015-02-16-17-03-55_denoised_801,1.4,1.28
2015-02-16-17-03-55_denoised_1063,-1.6,2.68
2015-02-16-17-03-55_denoised_502,-0.8,2.84
2015-02-16-17-03-55_denoised_342,-1.8,2.72
2015-02-16-17-03-55_denoised_778,-2.0,2.68
2015-02-16-17-03-55_denoised_903,0.6,0.92
2015-02-16-17-03-55_denoised_196,-1.4,2.12
2015-02-16-17-03-55_denoised_484,-0.2,0.44
2015-02-16-17-03-55_denoised_713,0.8,0.48
2015-02-16-17-03-55_denoised_990,1.4,0.0
2015-02-16-17-03-55_denoised_335,-0.8,2.32
2015-02-16-17-03-55_denoised_88,0.0,1.88
2015-02-16-17-03-55_denoised_289,1.0,0.76
2015-02-16-17-03-55_denoised_65,1.2,0.6
2015-02-16-17-03-55_denoised_418,0.2,2.0
2015-02-16-17-03-55_denoised_1040,1.4,1.0
2015-02-16-17-03-55_denoised_946,-0.8,2.84
2015-02-16-17-03-55_denoised_1085,-2.0,2.52
2015-02-16-17-15-23_denoised_335,1.2,1.68
2015-02-16-17-15-23_denoised_621,-1.6,2.6
2015-02-16-17-15-23_denoised_773,-0.4,2.32
2015-02-16-17-15-23_denoised_514,1.2,0.44
2015-02-16-17-15-23_denoised_567,1.4,0.28
2015-02-16-17-15-23_denoised_352,-0.6,2.72
2015-02-16-17-15-23_denoised_969,0.4,0.32
2015-02-16-17-15-23_denoised_186,1.4,0.64
2015-02-16-17-15-23_denoised_392,0.4,1.6
2015-02-16-17-15-23_denoised_532,0.6,1.32
2015-02-16-17-15-23_denoised_871,-1.4,1.4
2015-02-16-17-15-23_denoised_262,-1.0,1.4
2015-02-16-17-15-23_denoised_244,-1.0,2.88
2015-02-16-17-15-23_denoised_71,-0.8,2.72
2015-02-16-17-15-23_denoised_92,1.4,0.4
2015-02-16-17-15-23_denoised_702,1.8,0.48
2015-02-16-17-15-23_denoised_587,1.0,1.68
2015-02-16-17-15-23_denoised_226,-0.2,0.88
2015-02-16-17-15-23_denoised_205,0.2,2.24
2015-02-16-17-15-23_denoised_318,0.0,0.56
2015-02-16-17-15-23_denoised_1081,1.4,0.6
2015-02-16-17-15-23_denoised_921,0.6,1.96
2015-02-16-17-15-23_denoised_914,0.4,1.56
2015-02-16-17-15-23_denoised_459,-1.4,2.12
2015-02-16-17-15-23_denoised_130,0.6,1.04
2015-02-16-17-15-23_denoised_929,1.0,1.92
2015-02-16-17-15-23_denoised_791,-1.2,1.64
2015-02-16-17-15-23_denoised_298,1.2,1.64
2015-02-16-17-15-23_denoised_1024,0.2,1.92
2015-02-16-17-15-23_denoised_954,-0.4,0.8
2015-02-16-17-15-23_denoised_169,0.0,1.44
2015-02-16-17-15-23_denoised_803,0.8,2.08
2015-02-16-17-15-23_denoised_426,-0.2,1.52
2015-02-16-17-15-23_denoised_947,-0.8,0.84
2015-02-16-17-35-07_denoised_550,0.0,2.44
2015-02-16-17-35-07_denoised_287,-1.4,2.16
2015-02-16-17-35-07_denoised_106,1.8,0.32
2015-02-16-17-35-07_denoised_133,-0.2,2.92
2015-02-16-17-35-07_denoised_212,-2.0,2.2
2015-02-16-17-35-07_denoised_578,2.0,0.32
2015-02-16-17-35-07_denoised_159,1.2,0.72
2015-02-16-17-35-07_denoised_426,-0.4,1.28
2015-02-16-17-35-07_denoised_311,-2.0,2.44
2015-02-16-17-35-07_denoised_185,-0.4,2.32
2015-02-16-17-35-07_denoised_78,1.6,0.68
2015-02-16-17-35-07_denoised_512,1.6,0.68
2015-02-16-17-35-07_denoised_348,1.8,0.36
2015-02-16-17-35-07_denoised_51,2.0,0.56
2015-02-16-17-35-07_denoised_635,1.6,0.96
2015-02-16-17-35-07_denoised_489,-0.8,1.52
2015-02-16-17-46-48_denoised_1289,1.4,1.08
2015-02-16-17-46-48_denoised_390,2.0,0.72
2015-02-16-17-46-48_denoised_634,1.2,0.64
2015-02-16-17-46-48_denoised_1174,-0.4,1.64
2015-02-16-17-46-48_denoised_223,0.8,0.0
2015-02-16-17-46-48_denoised_306,-1.0,1.64
2015-02-16-17-46-48_denoised_722,1.0,1.96
2015-02-16-17-46-48_denoised_55,-1.4,1.8
2015-02-16-17-46-48_denoised_78,-1.6,2.48
2015-02-16-17-46-48_denoised_244,0.0,0.8
2015-02-16-17-46-48_denoised_368,-0.6,0.76
2015-02-16-17-46-48_denoised_162,1.2,0.36
2015-02-16-17-46-48_denoised_327,-1.6,1.68
2015-02-16-17-46-48_denoised_1131,-0.2,1.24
2015-02-16-17-46-48_denoised_121,0.6,1.72
2015-02-16-17-46-48_denoised_100,-0.6,1.16
2015-02-16-17-46-48_denoised_1196,0.0,0.64
2015-02-16-17-46-48_denoised_285,0.6,1.84
2015-02-16-17-46-48_denoised_142,1.0,0.52
2015-02-16-17-52-15_denoised_847,0.8,0.96
2015-02-16-17-52-15_denoised_826,-1.2,1.28
2015-02-16-17-52-15_denoised_345,0.0,2.52
2015-02-16-17-52-15_denoised_919,1.6,0.88
2015-02-16-17-52-15_denoised_927,1.4,0.52
2015-02-16-17-52-15_denoised_838,-0.6,1.64
2015-02-16-17-52-15_denoised_1218,1.4,1.0
2015-02-16-17-52-15_denoised_1232,2.0,0.64
2015-02-16-17-52-15_denoised_861,-1.4,2.0
2015-02-16-17-52-15_denoised_184,1.6,1.24
2015-02-16-17-52-15_denoised_897,-1.4,2.56
2015-02-16-17-52-15_denoised_448,-1.0,1.8
2015-02-16-17-52-15_denoised_317,-2.0,2.56
2015-02-16-17-52-15_denoised_466,0.4,2.44
2015-02-16-17-52-15_denoised_939,0.0,1.4
2015-02-16-17-54-47_denoised_63,0.0,2.4
2015-02-16-17-54-47_denoised_501,-1.6,2.6
2015-02-16-17-54-47_denoised_194,-2.0,2.12
2015-02-16-17-54-47_denoised_850,-1.8,1.84
2015-02-16-17-54-47_denoised_1207,-1.0,2.2
2015-02-16-17-54-47_denoised_283,-2.0,2.28
2015-02-16-17-54-47_denoised_235,0.6,0.96
2015-02-16-17-54-47_denoised_571,0.8,0.96
2015-02-16-17-54-47_denoised_617,1.2,0.28
2015-02-16-17-54-47_denoised_1220,1.6,0.2
2015-02-16-17-54-47_denoised_593,-2.0,2.16
2015-02-16-17-54-47_denoised_131,1.6,1.12
2015-02-16-17-54-47_denoised_211,-1.0,2.0
2015-02-16-17-54-47_denoised_805,1.8,0.76
2015-02-16-17-54-47_denoised_258,1.2,1.04
2015-02-16-17-54-47_denoised_1249,-0.8,2.92
2015-02-16-17-54-47_denoised_84,-1.8,2.16
2015-02-16-17-54-47_denoised_152,1.4,0.44
2015-02-16-17-54-47_denoised_458,1.8,0.52
2015-02-16-18-02-38_denoised_467,1.0,1.4
2015-02-16-18-02-38_denoised_490,-0.2,1.16
2015-02-16-18-02-38_denoised_563,1.2,1.68
2015-02-16-18-02-38_denoised_449,-2.0,2.84
2015-02-16-18-02-38_denoised_116,1.4,0.76
2015-02-16-18-02-38_denoised_137,-1.8,2.72
2015-02-16-18-02-38_denoised_412,-1.8,2.04
2015-02-16-18-02-38_denoised_508,0.2,1.36
2015-02-16-18-02-38_denoised_871,-1.6,2.64
2015-02-16-18-02-38_denoised_580,1.2,0.88
2015-02-16-18-02-38_denoised_820,1.2,1.44
2015-02-16-18-02-38_denoised_393,-0.8,1.12
2015-02-16-18-02-38_denoised_938,-2.0,2.28
2015-02-16-18-02-38_denoised_52,-1.6,2.08
2015-02-16-18-02-38_denoised_244,1.4,1.16
2015-02-16-18-02-38_denoised_371,-1.4,1.44
2015-02-16-18-02-38_denoised_841,-0.6,0.8
2015-02-16-18-02-38_denoised_198,1.2,1.04
2015-02-16-18-02-38_denoised_685,-2.0,2.76
2015-02-16-18-02-38_denoised_95,0.0,2.32
2015-02-16-18-02-38_denoised_761,2.0,0.2
2015-02-16-18-02-38_denoised_543,-1.2,2.36
2015-02-16-18-02-38_denoised_31,1.2,1.64
2015-02-16-18-02-38_denoised_794,-0.8,1.84
2015-02-16-18-02-38_denoised_431,-1.4,2.96
2015-02-16-18-02-38_denoised_221,0.6,1.96
2015-02-16-18-02-38_denoised_525,-1.0,2.52
2015-02-16-18-02-38_denoised_598,-1.6,2.84
2015-02-16-18-07-52_denoised_252,-0.8,1.32
2015-02-16-18-07-52_denoised_55,-0.6,2.2
2015-02-16-18-07-52_denoised_331,-0.2,1.28
2015-02-16-18-07-52_denoised_176,1.2,0.48
2015-02-16-18-07-52_denoised_194,1.0,0.64
2015-02-16-18-07-52_denoised_634,-1.0,1.04
2015-02-16-18-07-52_denoised_272,-1.8,2.68
2015-02-16-18-07-52_denoised_597,0.4,2.0
2015-02-16-18-07-52_denoised_510,0.2,1.2
2015-02-16-18-07-52_denoised_842,0.2,2.48
2015-02-16-18-07-52_denoised_213,-0.2,0.32
2015-02-16-18-07-52_denoised_655,-0.6,2.64
2015-02-16-18-07-52_denoised_136,0.2,1.72
2015-02-16-18-07-52_denoised_119,-1.8,2.16
2015-02-16-18-07-52_denoised_452,-1.4,2.4
2015-02-16-18-07-52_denoised_675,0.2,1.84
2015-02-16-18-07-52_denoised_578,-0.4,2.2
2015-02-16-18-07-52_denoised_559,2.0,0.76
2015-02-16-18-07-52_denoised_155,1.4,1.32
2015-02-21-17-08-25_denoised_356,1.6,0.08
2015-02-21-17-08-25_denoised_30,2.0,0.68
2015-02-21-17-08-25_denoised_442,1.0,0.16
2015-02-21-17-08-25_denoised_604,-2.0,2.52
2015-02-21-17-08-25_denoised_291,2.0,0.44
2015-02-21-17-08-25_denoised_63,-2.0,2.24
2015-02-21-17-08-25_denoised_257,1.2,1.76
2015-02-21-17-08-25_denoised_342,2.0,0.84
2015-02-21-17-08-25_denoised_586,-0.2,0.56
2015-02-21-17-08-25_denoised_493,1.2,1.4
2015-02-21-17-08-25_denoised_381,1.8,0.84
2015-02-21-17-08-25_denoised_203,0.8,1.48
2015-02-21-17-08-25_denoised_567,1.8,0.36
2015-02-21-17-08-25_denoised_271,0.4,1.84
2015-02-21-17-08-25_denoised_577,2.0,0.4
2015-02-21-17-08-25_denoised_327,1.6,0.2
2015-02-21-17-08-25_denoised_391,-2.0,2.76
2015-02-21-17-08-25_denoised_112,-0.2,1.28
2015-02-21-17-08-25_denoised_223,-1.4,2.96
2015-02-21-17-08-25_denoised_626,-1.4,1.72
2015-02-21-17-08-25_denoised_539,-1.6,1.96
2015-02-21-17-08-25_denoised_309,1.2,1.68
2015-02-21-17-09-17_denoised_153,1.2,0.28
2015-02-21-17-09-17_denoised_448,0.2,2.32
2015-02-21-17-09-17_denoised_580,-1.2,1.48
2015-02-21-17-09-17_denoised_233,-1.4,2.12
2015-02-21-17-09-17_denoised_749,-2.0,2.44
2015-02-21-17-09-17_denoised_27,0.2,1.28
2015-02-21-17-09-17_denoised_315,-0.4,1.96
2015-02-21-17-09-17_denoised_205,1.0,1.08
2015-02-21-17-09-17_denoised_252,-1.2,1.6
2015-02-21-17-09-17_denoised_173,1.2,0.2
2015-02-21-17-09-17_denoised_262,1.2,1.64
2015-02-21-17-09-17_denoised_191,-0.6,1.64
2015-02-21-17-09-17_denoised_614,-0.8,1.84
2015-02-21-17-09-17_denoised_284,0.4,1.84
2015-02-21-17-09-17_denoised_851,-0.6,0.68
2015-02-21-17-09-17_denoised_410,1.6,0.8
2015-02-21-17-09-17_denoised_133,0.8,1.28
2015-02-21-17-09-17_denoised_299,-0.8,2.68
2015-02-21-17-09-17_denoised_420,-1.4,1.52
2015-02-21-17-09-17_denoised_597,-0.4,0.68
2015-02-21-17-09-17_denoised_374,2.0,0.32
2015-02-21-17-09-17_denoised_325,0.6,2.24
2015-02-21-17-09-17_denoised_223,1.4,0.96
2015-02-21-17-09-17_denoised_112,-0.6,2.92
2015-02-21-17-09-17_denoised_427,-1.4,2.08
2015-02-21-17-13-35_denoised_31,-1.0,2.04
2015-02-21-17-13-35_denoised_81,-1.6,2.52
2015-02-21-17-13-35_denoised_289,-0.6,2.36
2015-02-21-17-13-35_denoised_572,-1.0,1.72
2015-02-21-17-13-35_denoised_768,-2.0,2.72
2015-02-21-17-13-35_denoised_711,-2.0,2.48
2015-02-21-17-13-35_denoised_460,-1.6,2.24
2015-02-21-17-13-35_denoised_310,0.2,0.96
2015-02-21-17-13-35_denoised_104,2.0,0.48
2015-02-21-17-13-35_denoised_553,-1.4,2.84
2015-02-21-17-13-35_denoised_151,1.6,0.84
2015-02-21-17-13-35_denoised_532,1.6,0.88
2015-02-21-17-13-35_denoised_632,1.6,0.6
2015-02-21-17-13-35_denoised_844,0.4,0.4
2015-02-21-17-13-35_denoised_511,0.8,0.28
2015-02-21-17-13-35_denoised_351,-1.0,1.76
2015-02-21-17-13-35_denoised_915,0.4,1.16
2015-02-21-17-13-35_denoised_884,-0.4,0.4
2015-02-21-17-13-35_denoised_785,0.0,2.72
2015-02-21-17-13-35_denoised_394,-1.4,2.48
2015-02-21-17-13-35_denoised_128,2.0,0.52
2015-02-21-17-13-35_denoised_361,1.8,1.08
2015-02-21-17-13-35_denoised_819,1.0,1.88
2015-02-21-17-13-35_denoised_729,-1.0,2.16
2015-02-21-17-13-35_denoised_833,0.0,0.92
2015-02-21-17-14-45_denoised_338,1.8,0.52
2015-02-21-17-14-45_denoised_914,0.0,1.52
2015-02-21-17-14-45_denoised_227,1.6,0.12
2015-02-21-17-14-45_denoised_482,0.8,1.8
2015-02-21-17-14-45_denoised_99,-1.2,1.48
2015-02-21-17-14-45_denoised_691,1.6,0.08
2015-02-21-17-14-45_denoised_78,0.6,0.72
2015-02-21-17-14-45_denoised_503,0.8,1.88
2015-02-21-17-14-45_denoised_58,-0.2,2.08
2015-02-21-17-14-45_denoised_614,1.6,0.48
2015-02-21-17-14-45_denoised_424,-2.0,2.72
2015-02-21-17-14-45_denoised_272,1.8,1.12
2015-02-21-17-14-45_denoised_879,-1.0,1.32
2015-02-21-17-14-45_denoised_119,-1.0,2.84
2015-02-21-17-14-45_denoised_443,-1.0,1.56
2015-02-21-17-14-45_denoised_162,-1.4,1.4
2015-02-21-17-14-45_denoised_638,-0.4,1.6
2015-02-21-17-14-45_denoised_747,-0.2,1.0
2015-02-21-17-14-45_denoised_552,-1.4,2.16
2015-02-21-17-14-45_denoised_894,1.6,0.04
2015-02-21-17-14-45_denoised_819,-1.0,1.72
2015-02-21-17-14-45_denoised_542,-0.8,0.96
2015-02-21-17-14-45_denoised_140,-1.0,1.4
2015-02-21-17-14-45_denoised_730,1.8,0.96
2015-02-21-17-14-45_denoised_857,2.0,0.8
2015-02-21-17-14-45_denoised_560,-0.6,1.68
2015-02-21-17-14-45_denoised_601,0.0,0.24
2015-02-21-17-14-45_denoised_403,-0.2,2.88
2015-02-21-17-14-45_denoised_932,1.4,0.4
2015-02-21-17-14-45_denoised_292,1.6,1.0
2015-02-21-17-14-45_denoised_837,-0.8,1.16
2015-02-21-17-14-45_denoised_382,-0.6,1.56
2015-02-21-17-14-45_denoised_567,-1.0,2.36
2015-02-21-17-14-45_denoised_656,1.8,0.12
2015-02-21-17-14-45_denoised_703,-0.8,0.84
2015-02-21-17-14-45_denoised_873,1.4,1.12
2015-02-21-17-16-04_denoised_852,-1.6,2.68
2015-02-21-17-16-04_denoised_359,-0.4,1.4
2015-02-21-17-16-04_denoised_539,-0.4,2.36
2015-02-21-17-16-04_denoised_954,0.4,0.64
2015-02-21-17-16-04_denoised_892,0.6,1.92
2015-02-21-17-16-04_denoised_1027,-1.6,1.68
2015-02-21-17-16-04_denoised_234,-0.4,2.16
2015-02-21-17-16-04_denoised_973,0.0,2.76
2015-02-21-17-16-04_denoised_1048,1.4,0.12
2015-02-21-17-16-04_denoised_767,-1.6,2.44
2015-02-21-17-16-04_denoised_250,-0.6,0.8
2015-02-21-17-16-04_denoised_1106,1.2,0.76
2015-02-21-17-16-04_denoised_798,-0.2,2.88
2015-02-21-17-16-04_denoised_370,0.8,1.96
2015-02-21-17-16-04_denoised_109,-1.2,1.76
2015-02-21-17-16-04_denoised_328,-1.8,2.96
2015-02-21-17-16-04_denoised_815,-0.2,2.4
2015-02-21-17-16-04_denoised_508,1.4,0.12
2015-02-21-17-16-04_denoised_688,-1.4,2.92
2015-02-21-17-16-04_denoised_869,0.6,0.36
2015-02-21-17-16-04_denoised_1060,-2.0,2.36
2015-02-21-17-16-04_denoised_727,1.4,0.68
2015-02-21-17-16-04_denoised_192,1.0,0.72
2015-02-21-17-16-04_denoised_777,-1.0,2.64
2015-02-21-17-16-04_denoised_647,1.0,0.56
2015-02-21-17-16-04_denoised_707,0.4,0.6
2015-02-21-17-16-04_denoised_1070,2.0,0.48
2015-02-21-17-16-04_denoised_962,0.8,1.76
2015-02-21-17-16-04_denoised_932,1.6,0.68
2015-02-21-17-16-04_denoised_630,0.6,1.52
2015-02-21-17-16-04_denoised_902,-1.4,2.04
2015-02-21-17-16-04_denoised_35,0.6,2.28
2015-02-21-17-16-04_denoised_422,-1.0,2.72
2015-02-21-17-16-04_denoised_335,1.8,0.88
2015-02-21-17-16-04_denoised_530,-0.4,1.6
2015-02-21-17-16-04_denoised_667,0.0,1.84
2015-02-21-17-16-04_denoised_313,1.6,0.12
2015-02-21-17-16-04_denoised_609,-1.2,2.56
2015-02-21-17-16-04_denoised_131,-1.6,2.56
2015-02-21-17-16-04_denoised_216,-0.8,1.04
2015-02-21-17-16-04_denoised_555,0.0,2.12
2015-02-21-17-16-04_denoised_298,0.0,0.88
2015-02-21-17-16-04_denoised_836,-0.2,1.32
2015-02-21-17-16-04_denoised_85,-2.0,2.88
2015-02-21-17-16-04_denoised_288,-1.0,2.84
2015-02-21-17-16-04_denoised_1121,-1.2,1.72
2015-02-21-17-18-56_denoised_688,0.0,0.88
2015-02-21-17-18-56_denoised_86,-1.4,1.72
2015-02-21-17-18-56_denoised_800,2.0,0.48
2015-02-21-17-18-56_denoised_669,2.0,0.48
2015-02-21-17-18-56_denoised_237,1.2,0.52
2015-02-21-17-18-56_denoised_150,1.2,1.0
2015-02-21-17-18-56_denoised_341,0.0,0.6
2015-02-21-17-18-56_denoised_514,1.2,0.8
2015-02-21-17-18-56_denoised_589,-0.4,2.36
2015-02-21-17-18-56_denoised_320,0.8,0.48
2015-02-21-17-18-56_denoised_628,-1.2,2.4
2015-02-21-17-18-56_denoised_493,1.8,0.88
2015-02-21-17-18-56_denoised_42,0.8,0.32
2015-02-21-17-18-56_denoised_259,-1.6,2.96
2015-02-21-17-18-56_denoised_172,-1.6,1.8
2015-02-21-17-18-56_denoised_551,0.2,1.64
2015-02-21-17-18-56_denoised_107,-1.2,1.96
2015-02-21-17-18-56_denoised_216,-0.4,1.96
2015-02-21-17-18-56_denoised_362,1.6,1.12
2015-02-21-17-18-56_denoised_64,-0.4,0.64
2015-02-21-17-18-56_denoised_302,-2.0,2.28
2015-02-21-17-18-56_denoised_280,0.8,0.68
2015-02-21-17-18-56_denoised_649,0.2,0.36
2015-02-21-17-27-48_denoised_372,-1.0,1.36
2015-02-21-17-27-48_denoised_298,1.2,0.8
2015-02-21-17-27-48_denoised_533,-0.4,2.32
2015-02-21-17-27-48_denoised_555,1.0,0.2
2015-02-21-17-27-48_denoised_96,-1.0,1.56
2015-02-21-17-27-48_denoised_211,1.2,0.32
2015-02-21-17-27-48_denoised_475,1.8,0.48
2015-02-21-17-27-48_denoised_269,0.4,2.32
2015-02-21-17-27-48_denoised_519,-1.2,2.72
2015-02-21-17-27-48_denoised_139,-1.8,2.16
2015-02-21-17-27-48_denoised_395,1.4,1.24
2015-02-21-17-27-48_denoised_242,0.8,2.08
2015-02-21-17-27-48_denoised_73,-0.4,2.68
2015-02-21-17-27-48_denoised_620,-1.8,1.84
2015-02-21-17-27-48_denoised_348,-0.8,2.4
2015-02-21-17-27-48_denoised_174,1.8,0.36
2015-02-21-17-29-20_denoised_134,0.2,1.12
2015-02-21-17-29-20_denoised_687,-0.8,1.28
2015-02-21-17-29-20_denoised_284,-0.8,1.88
2015-02-21-17-29-20_denoised_372,0.0,1.04
2015-02-21-17-29-20_denoised_60,0.8,1.76
2015-02-21-17-29-20_denoised_547,-0.4,2.6
2015-02-21-17-29-20_denoised_324,2.0,0.96
2015-02-21-17-29-20_denoised_496,1.6,0.64
2015-02-21-17-29-20_denoised_892,0.8,0.56
2015-02-21-17-29-20_denoised_410,-0.6,1.8
2015-02-21-17-29-20_denoised_161,1.6,1.0
2015-02-21-17-29-20_denoised_621,-0.8,2.48
2015-02-21-17-29-20_denoised_189,0.2,2.48
2015-02-21-17-29-20_denoised_712,1.6,0.0
2015-02-21-17-29-20_denoised_635,-0.2,1.84
2015-02-21-17-29-20_denoised_663,-1.2,1.76
2015-02-21-17-29-20_denoised_36,-1.2,1.84
2015-02-21-17-29-20_denoised_520,-1.2,2.12
2015-02-21-17-31-46_denoised_507,1.8,0.28
